task_id,level
00576224,dummy
009d5c81,dummy
00dbd492,dummy
03560426,dummy
05a7bcf2,dummy
0607ce86,dummy
0692e18c,dummy
070dd51e,dummy
08573cc6,dummy
0934a4d8,dummy
09c534e7,dummy
0a1d4ef5,dummy
0a2355a6,dummy
0b17323b,dummy
0bb8deee,dummy
0becf7df,dummy
0c786b71,dummy
0c9aba6e,dummy
0d87d2a6,dummy
0e671a1a,dummy
0f63c0b9,dummy
103eff5b,dummy
11e1fe23,dummy
12422b43,dummy
12997ef3,dummy
12eac192,dummy
136b0064,dummy
13713586,dummy
137f0df0,dummy
140c817e,dummy
14754a24,dummy
15113be4,dummy
15663ba9,dummy
15696249,dummy
16b78196,dummy
17b80ad2,dummy
17cae0c1,dummy
18419cfa,dummy
184a9768,dummy
195ba7dc,dummy
1990f7a8,dummy
19bb5feb,dummy
1a2e2828,dummy
1a6449f1,dummy
1acc24af,dummy
1c02dbbe,dummy
1c0d0a4b,dummy
1c56ad9f,dummy
1d0a4b61,dummy
1d398264,dummy
1da012fc,dummy
1e81d6f9,dummy
1e97544e,dummy
2037f2c7,dummy
2072aba6,dummy
20818e16,dummy
20981f0e,dummy
212895b5,dummy
21f83797,dummy
22a4bbc2,dummy
25094a63,dummy
2546ccf6,dummy
256b0a75,dummy
2685904e,dummy
2697da3f,dummy
2753e76c,dummy
27a77e38,dummy
27f8ce4f,dummy
281123b4,dummy
292dd178,dummy
29700607,dummy
2a5f8217,dummy
2b01abd0,dummy
2c0b0aff,dummy
2c737e39,dummy
2f0c5170,dummy
310f3251,dummy
3194b014,dummy
319f2597,dummy
31adaf00,dummy
