task_id,level
d2acf2cb,dummy
d304284e,dummy
d37a1ef5,dummy
d47aa2ff,dummy
d492a647,dummy
d4b1c2b1,dummy
d4c90558,dummy
d56f2372,dummy
d5c634a2,dummy
d931c21c,dummy
d94c3b52,dummy
da2b0fe3,dummy
da515329,dummy
dc2aa30b,dummy
dc2e9a9d,dummy
dd2401ed,dummy
de493100,dummy
df8cc377,dummy
e0fb7511,dummy
e133d23d,dummy
e1baa8a4,dummy
e1d2900e,dummy
e2092e0c,dummy
e21a174a,dummy
e345f17b,dummy
e4075551,dummy
e41c6fd3,dummy
e57337a4,dummy
e5790162,dummy
e5c44e8f,dummy
e619ca6e,dummy
e633a9e5,dummy
e66aafb8,dummy
e681b708,dummy
e69241bd,dummy
e6de6e8f,dummy
e74e1818,dummy
e760a62e,dummy
e7639916,dummy
e78887d1,dummy
e7a25a18,dummy
e7b06bea,dummy
e7dd8335,dummy
e872b94a,dummy
e88171ec,dummy
e95e3d8e,dummy
e99362f0,dummy
e9ac8c9e,dummy
e9b4f6fc,dummy
e9bb6954,dummy
e9c9d9a1,dummy
ea959feb,dummy
ea9794b1,dummy
ecaa0ec1,dummy
ed74f2f2,dummy
ed98d772,dummy
ef26cbf6,dummy
f0afb749,dummy
f0df5ff0,dummy
f21745ec,dummy
f3b10344,dummy
f3cdc58f,dummy
f3e62deb,dummy
f4081712,dummy
f45f5ca7,dummy
f5aa3634,dummy
f5c89df1,dummy
f823c43c,dummy
f83cb3f6,dummy
f8be4b64,dummy
f9a67cb5,dummy
f9d67f8b,dummy
fafd9572,dummy
fb791726,dummy
fc754716,dummy
fd096ab6,dummy
fd4b2b02,dummy
fe9372f3,dummy
fea12743,dummy
ff72ca3e,dummy
