task_id,level
31d5ba1a,dummy
32e9702f,dummy
332efdb3,dummy
3391f8c0,dummy
33b52de3,dummy
3490cc26,dummy
34b99a2b,dummy
351d6448,dummy
358ba94e,dummy
37d3e8b2,dummy
3979b1a8,dummy
3a301edc,dummy
3b4c2228,dummy
3d31c5b3,dummy
3ed85e70,dummy
3ee1011a,dummy
3f23242b,dummy
40f6cd08,dummy
414297c0,dummy
423a55dc,dummy
42918530,dummy
42a15761,dummy
4364c1c4,dummy
456873bc,dummy
45737921,dummy
45bbe264,dummy
477d2879,dummy
47996f11,dummy
48131b3c,dummy
4852f2fa,dummy
48f8583b,dummy
4aab4007,dummy
4acc7107,dummy
4b6b68e5,dummy
4c177718,dummy
4cd1b7b2,dummy
4e45f183,dummy
4e469f39,dummy
4f537728,dummy
4ff4c9da,dummy
505fff84,dummy
506d28a5,dummy
50a16a69,dummy
50aad11f,dummy
50f325b5,dummy
516b51b7,dummy
5207a7b5,dummy
5289ad53,dummy
52fd389e,dummy
54db823b,dummy
55059096,dummy
551d5bf1,dummy
55783887,dummy
575b1a71,dummy
5783df64,dummy
5833af48,dummy
58743b76,dummy
58e15b12,dummy
59341089,dummy
5a5a2103,dummy
5af49b42,dummy
5b526a93,dummy
5b692c0f,dummy
5b6cbef5,dummy
5d2a5c43,dummy
5ffb2104,dummy
604001fa,dummy
60a26a3e,dummy
60c09cac,dummy
626c0bcc,dummy
62ab2642,dummy
62b74c02,dummy
639f5a19,dummy
642248e4,dummy
642d658d,dummy
64a7c07e,dummy
66e6c45b,dummy
66f2d22f,dummy
67636eac,dummy
67b4a34d,dummy
